application_id,customer_record_id,application_date,requested_limit,annual_revenue,years_in_business,industry
APP000001,C000001,2023-03-13,4776.2,25000.0,8.0,Food Services
APP000002,C000001,2024-09-15,7069.17,31432.51,7.3,Retail
APP000003,C000001,2023-02-26,6299.52,32705.55,7.7,Construction
APP000004,C000002,2024-07-07,19481.97,128972.42,7.9,Construction
APP000005,C000002,2023-06-25,12603.94,121774.48,7.8,Wholesale
APP000006,C000003,2025-02-17,12252.41,58587.38,2.8,Transportation
APP000007,C000003,2024-03-28,5126.16,55211.66,2.8,Automotive
APP000008,C000003,2023-10-06,6304.59,56762.52,2.3,Professional Services
APP000009,C000003,2023-07-25,8668.02,60890.64,3.5,Retail
APP000010,C000003,2023-07-04,13921.68,54461.71,2.5,Energy
APP000011,C000005,2024-12-12,19971.73,82326.11,3.1,Construction
APP000012,C000004,2023-12-26,13785.42,97976.23,3.1,Retail
APP000013,C000004,2024-07-11,4637.45,87257.37,3.3,Retail
APP000014,C000004,2024-02-14,9204.94,92248.82,3.2,Transportation
APP000015,C000007,2024-06-19,13583.47,71729.56,5.7,Wholesale
APP000016,C000007,2023-09-14,13308.97,81028.41,5.0,Automotive
APP000017,C000008,2024-09-19,14554.69,61201.72,11.7,Wholesale
APP000018,C000008,2023-10-03,6141.15,49704.83,11.3,Wholesale
APP000019,C000009,2024-10-04,7408.27,56147.73,3.2,Healthcare
APP000020,C000009,2024-05-25,4917.98,54523.72,3.2,Healthcare
APP000021,C000010,2025-02-10,14964.23,108365.96,3.4,Energy
APP000022,C000011,2023-05-27,25094.2,97332.63,3.1,Wholesale
APP000023,C000011,2023-06-29,6197.03,88890.76,3.3,Healthcare
APP000024,C000011,2023-03-03,24269.14,103190.1,2.8,Food Services
APP000025,C000011,2024-04-29,21384.77,98467.22,3.7,Healthcare
APP000026,C000012,2024-10-19,3000.0,25000.0,1.3,Automotive
APP000027,C000013,2024-11-19,3000.0,32593.07,4.7,Construction
APP000028,C000013,2024-01-14,5112.07,26931.5,4.6,Construction
