account_id,snapshot_date,days_past_due,outstanding_balance
A000001,2024-01-31,0,3144.32
A000001,2024-02-29,0,2865.06
A000001,2024-03-31,0,3070.4
A000001,2024-04-30,0,2922.9
A000001,2024-05-31,0,3062.74
A000001,2024-06-30,0,2738.34
A000001,2024-07-31,0,2622.5
A000001,2024-08-31,0,2959.69
A000001,2024-09-30,0,2797.8
A000001,2024-10-31,0,3099.38
A000001,2024-11-30,0,3026.27
A000001,2024-12-31,0,2856.94
A000001,2025-01-31,0,2642.02
A000001,2025-02-28,0,2864.14
A000001,2025-03-31,0,2815.25
A000001,2025-04-30,0,2763.79
A000001,2025-05-31,0,3139.46
A000001,2025-06-30,0,2998.74
A000001,2025-07-31,0,2912.85
A000001,2025-08-31,0,2718.02
A000001,2025-09-30,0,2937.68
A000001,2025-10-31,0,2991.0
A000001,2025-11-30,0,3073.66
A000001,2025-12-31,0,2764.26
A000002,2024-09-30,0,1499.92
A000002,2024-10-31,0,1273.47
A000002,2024-11-30,0,1381.76
A000002,2024-12-31,0,1504.89
A000002,2025-01-31,30,1376.82
A000002,2025-02-28,30,1342.25
A000002,2025-03-31,30,1344.79
A000002,2025-04-30,0,1444.02
A000002,2025-05-31,0,1481.76
A000002,2025-06-30,30,1614.52
A000002,2025-07-31,60,1350.15
A000002,2025-08-31,30,1401.24
A000002,2025-09-30,60,1378.0
A000002,2025-10-31,90,1522.7
A000002,2025-11-30,90,1642.67
A000002,2025-12-31,90,1385.18
A000003,2024-01-31,0,4004.61
A000003,2024-02-29,0,4126.17
A000003,2024-03-31,0,4070.04
A000003,2024-04-30,0,4292.95
A000003,2024-05-31,0,4227.47
A000003,2024-06-30,0,3466.66
A000003,2024-07-31,0,4205.58
A000003,2024-08-31,0,3588.78
A000003,2024-09-30,0,4238.94
A000003,2024-10-31,0,4032.41
A000003,2024-11-30,0,4151.45
A000003,2024-12-31,0,3995.9
A000003,2025-01-31,0,4235.86
A000003,2025-02-28,0,4098.29
A000003,2025-03-31,0,4273.75
A000003,2025-04-30,0,4052.87
A000003,2025-05-31,0,4884.61
A000003,2025-06-30,0,4514.84
A000003,2025-07-31,0,3772.09
A000003,2025-08-31,0,3969.75
A000003,2025-09-30,0,4440.61
A000003,2025-10-31,0,4108.73
A000003,2025-11-30,0,3660.19
