customer_record_id_1,customer_record_id_2
C002758,C002759
C001875,C001876
C003481,C003483
C003285,C003286
C004382,C004383
C000440,C000441
C003343,C003344
C001820,C001821
C000838,C000839
C001147,C001148
C003481,C003482
C003772,C003773
C002830,C002831
C001752,C001753
C001714,C001715
C001614,C001615
C003318,C003319
C003787,C003788
C002941,C002942
C001817,C001818
C002336,C002337
C003458,C003459
C000006,C000007
C002458,C002459
C003702,C003703
C000525,C000526
C000935,C000936
C004022,C004023
C000522,C000523
C000345,C000346
C002226,C002227
C003474,C003475
C003335,C003336
C002287,C002288
C002587,C002588
C001547,C001548
C002088,C002089
C001556,C001557
C000766,C000767
C001161,C001162
C002823,C002824
C004065,C004066
C001010,C001011
C001036,C001037
C003467,C003468
C003026,C003027
C002964,C002965
