account_id,customer_record_id,open_date,credit_limit,current_balance,product_type,status
A000001,C000001,2023-03-17,5085.34,2924.69,Commercial Card,Open
A000002,C000001,2024-09-23,5509.16,1398.97,Commercial Card,Open
A000003,C000001,2023-03-12,6285.93,4059.22,Fleet Card,Open
A000004,C000002,2024-07-10,21572.77,13710.59,Fleet Card,Open
A000005,C000002,2023-06-27,12079.86,4400.4,Commercial Card,Open
A000006,C000003,2025-03-01,10944.69,5749.67,Fleet Card,Open
A000007,C000003,2024-04-01,3593.51,1354.85,Revolving Credit,Open
A000008,C000003,2023-10-09,7109.96,4607.84,Commercial Card,Open
A000009,C000003,2023-07-31,8854.32,4665.32,Revolving Credit,Open
A000010,C000003,2023-07-09,11522.61,6476.49,Revolving Credit,Open
A000011,C000005,2024-12-17,15876.51,2621.65,Fleet Card,Open
A000012,C000004,2024-01-02,14430.78,8093.05,Commercial Card,Open
A000013,C000004,2024-07-12,4327.18,3156.7,Fleet Card,Closed
A000014,C000004,2024-02-18,9679.78,942.98,Commercial Card,Open
A000015,C000007,2024-06-22,12028.74,6470.56,Commercial Card,Open
A000016,C000007,2023-09-26,13457.73,4294.23,Fleet Card,Open
A000017,C000008,2024-09-28,14932.04,10347.93,Commercial Card,Open
A000018,C000008,2023-10-04,6867.17,4474.99,Revolving Credit,Open
A000019,C000009,2024-10-18,6022.6,2155.69,Revolving Credit,Open
A000020,C000009,2024-05-25,4177.95,2810.27,Fleet Card,Open
A000021,C000010,2025-02-14,16744.82,7685.24,Fleet Card,Open
A000022,C000011,2023-06-10,21236.6,13534.71,Fleet Card,Open
A000023,C000011,2023-07-12,6738.86,2895.35,Fleet Card,Open
A000024,C000011,2023-03-09,17313.89,2292.8,Commercial Card,Open
A000025,C000011,2024-04-29,16698.57,7996.43,Fleet Card,Open
A000026,C000012,2024-10-27,3070.56,1208.17,Fleet Card,Open
A000027,C000013,2024-11-20,3343.34,922.44,Commercial Card,Open
A000028,C000013,2024-01-18,3592.26,1470.17,Revolving Credit,Open
A000029,C000013,2025-02-25,8869.46,4837.37,Commercial Card,Open
A000030,C000013,2024-03-07,6663.43,2328.34,Fleet Card,Open
A000031,C000014,2024-04-01,6426.87,1306.79,Commercial Card,Open
A000032,C000014,2024-01-05,4581.35,2215.54,Commercial Card,Open
A000033,C000015,2024-11-22,13220.37,9455.29,Fleet Card,Open
A000034,C000015,2024-10-04,51973.64,26490.38,Fleet Card,Open
A000035,C000015,2025-01-16,21262.73,12398.97,Commercial Card,Open
A000036,C000015,2024-12-11,37914.96,22422.69,Revolving Credit,Open
A000037,C000015,2023-08-20,25413.13,15594.44,Revolving Credit,Open
A000038,C000016,2023-08-25,13729.1,1842.12,Revolving Credit,Open
