payment_id,account_id,due_date,payment_date,amount_due,amount_paid
P00000001,A000001,2024-01-15,2024-02-05,102.38,101.64
P00000002,A000001,2024-02-15,2024-02-14,215.89,218.59
P00000003,A000001,2024-03-15,2024-03-11,178.79,178.97
P00000004,A000001,2024-04-15,2024-04-12,125.55,129.69
P00000005,A000001,2024-05-15,2024-05-13,186.03,187.03
P00000006,A000001,2024-06-15,2024-06-26,139.98,138.92
P00000007,A000001,2024-07-15,2024-07-11,106.98,110.4
P00000008,A000001,2024-08-15,2024-08-15,101.64,102.37
P00000009,A000001,2024-09-15,2024-09-10,215.58,217.21
P00000010,A000001,2024-10-15,2024-11-14,109.03,111.06
P00000011,A000001,2024-11-15,2024-11-14,183.88,184.31
P00000012,A000001,2024-12-15,2024-12-11,190.44,194.56
P00000013,A000001,2025-01-15,2025-01-10,174.19,181.79
P00000014,A000001,2025-02-15,2025-02-13,128.57,134.11
P00000015,A000001,2025-03-15,2025-03-13,76.22,75.62
P00000016,A000001,2025-04-15,2025-04-13,109.18,79.02
P00000017,A000001,2025-05-15,2025-05-13,66.37,69.22
P00000018,A000001,2025-06-15,2025-06-12,208.81,214.86
P00000019,A000001,2025-07-15,2025-07-27,132.59,137.45
P00000020,A000001,2025-08-15,2025-08-14,222.85,232.75
P00000021,A000001,2025-09-15,2025-09-10,83.79,83.15
P00000022,A000001,2025-10-15,2025-10-10,207.01,205.79
P00000023,A000001,2025-11-15,2025-11-13,198.21,194.67
P00000024,A000001,2025-12-15,2025-12-12,91.73,95.15
P00000025,A000002,2024-10-15,2024-10-11,75.6,74.16
P00000026,A000002,2024-11-15,2024-11-21,73.93,73.74
P00000027,A000002,2024-12-15,2024-12-15,96.55,97.13
P00000028,A000002,2025-01-15,2025-01-13,93.56,94.62
P00000029,A000002,2025-02-15,2025-02-11,69.03,71.88
P00000030,A000002,2025-03-15,2025-03-11,104.92,103.94
P00000031,A000002,2025-04-15,2025-04-15,50.0,49.43
P00000032,A000002,2025-05-15,2025-05-13,101.18,104.72
P00000033,A000002,2025-06-15,2025-06-11,50.0,49.69
P00000034,A000002,2025-07-15,2025-07-15,50.0,49.25
P00000035,A000002,2025-08-15,2025-08-14,96.31,99.56
P00000036,A000002,2025-09-15,2025-09-11,110.18,112.06
P00000037,A000002,2025-10-15,2025-10-13,98.48,98.18
P00000038,A000002,2025-11-15,2025-11-15,84.55,37.39
P00000039,A000002,2025-12-15,2025-12-13,79.29,79.2
P00000040,A000003,2024-01-15,2024-01-14,178.27,175.23
P00000041,A000003,2024-02-15,2024-02-10,311.2,309.53
P00000042,A000003,2024-03-15,2024-03-12,128.03,129.07
P00000043,A000003,2024-04-15,2024-04-11,318.22,314.06
P00000044,A000003,2024-05-15,2024-05-15,94.59,93.51
P00000045,A000003,2024-06-15,2024-06-14,139.63,100.89
P00000046,A000003,2024-07-15,2024-07-11,153.43,157.39
P00000047,A000003,2024-08-15,2024-08-12,253.21,258.55
P00000048,A000003,2024-09-15,2024-09-22,107.77,112.47
P00000049,A000003,2024-10-15,2024-11-21,120.01,120.84
P00000050,A000003,2024-11-15,2024-12-18,125.31,124.43
P00000051,A000003,2024-12-15,2024-12-15,219.74,215.92
P00000052,A000003,2025-01-15,2025-01-10,136.9,140.5
P00000053,A000003,2025-02-15,2025-02-14,236.32,241.92
P00000054,A000003,2025-03-15,2025-03-12,204.02,208.97
P00000055,A000003,2025-04-15,2025-04-13,112.82,114.99
P00000056,A000003,2025-05-15,2025-05-13,252.58,263.41
P00000057,A000003,2025-06-15,2025-07-17,313.8,309.38
P00000058,A000003,2025-07-15,2025-07-14,179.27,179.51
P00000059,A000003,2025-08-15,2025-09-23,247.83,257.02
P00000060,A000003,2025-09-15,2025-09-10,93.64,92.27
P00000061,A000003,2025-10-15,2025-10-14,152.64,150.96
P00000062,A000003,2025-11-15,2025-11-14,150.95,150.34
P00000063,A000003,2025-12-15,2025-12-10,141.29,118.27
P00000064,A000004,2024-08-15,2024-08-11,303.55,298.12
P00000065,A000004,2024-09-15,2024-09-14,528.95,551.27
P00000066,A000004,2024-10-15,2024-10-14,330.84,327.17
P00000067,A000004,2024-11-15,2024-12-24,550.78,576.18
P00000068,A000004,2024-12-15,2024-12-16,356.51,360.85
P00000069,A000004,2025-01-15,2025-01-11,712.88,703.54
P00000070,A000004,2025-02-15,2025-02-13,823.39,864.15
P00000071,A000004,2025-03-15,2025-03-12,389.22,400.56
P00000072,A000004,2025-04-15,2025-04-10,443.06,454.57
P00000073,A000004,2025-05-15,2025-05-15,806.04,845.96
P00000074,A000004,2025-06-15,2025-06-10,621.49,638.3
P00000075,A000004,2025-07-15,2025-08-12,319.57,334.67
P00000076,A000004,2025-08-15,2025-08-14,1068.13,1117.96
P00000077,A000004,2025-09-15,2025-09-14,326.82,163.42
P00000078,A000004,2025-10-15,2025-10-13,324.31,332.12
P00000079,A000004,2025-11-15,2025-11-10,860.79,846.73
P00000080,A000004,2025-12-15,2025-12-15,533.8,545.48
P00000081,A000005,2024-01-15,2024-01-10,107.18,108.87
P00000082,A000005,2024-02-15,2024-02-14,346.47,341.52
P00000083,A000005,2024-03-15,2024-03-12,163.04,167.42
P00000084,A000005,2024-04-15,2024-04-15,246.71,242.02
P00000085,A000005,2024-05-15,2024-05-12,296.16,292.34
P00000086,A000005,2024-06-15,2024-06-14,304.86,310.09
P00000087,A000005,2024-07-15,2024-07-14,303.18,302.33
P00000088,A000005,2024-08-15,2024-08-14,254.06,256.1
P00000089,A000005,2024-09-15,2024-09-11,179.64,180.67
P00000090,A000005,2024-10-15,2024-10-14,211.85,210.14
P00000091,A000005,2024-11-15,2024-11-11,274.03,284.33
P00000092,A000005,2024-12-15,2024-12-15,279.22,281.86
P00000093,A000005,2025-01-15,2025-01-12,198.94,202.8
P00000094,A000005,2025-02-15,2025-02-14,153.13,156.87
P00000095,A000005,2025-03-15,2025-03-29,104.49,106.96
P00000096,A000005,2025-04-15,2025-04-14,277.57,280.62
P00000097,A000005,2025-05-15,2025-05-31,307.63,314.94
P00000098,A000005,2025-06-15,2025-06-14,230.05,234.61
P00000099,A000005,2025-07-15,2025-07-15,226.73,223.09
P00000100,A000005,2025-08-15,2025-08-10,322.01,336.24
P00000101,A000005,2025-09-15,2025-09-13,294.46,298.9
P00000102,A000005,2025-10-15,2025-10-11,350.43,355.08
P00000103,A000005,2025-11-15,2025-11-11,263.63,268.63
P00000104,A000005,2025-12-15,2025-12-14,158.16,127.08
P00000105,A000006,2025-03-15,2025-03-12,384.21,262.99
P00000106,A000006,2025-04-15,2025-04-14,428.11,425.98
P00000107,A000006,2025-05-15,2025-05-14,406.58,421.13
P00000108,A000006,2025-06-15,2025-06-10,313.24,315.43
P00000109,A000006,2025-07-15,2025-07-21,424.92,195.64
P00000110,A000006,2025-08-15,2025-08-14,302.44,296.65
P00000111,A000006,2025-09-15,2025-09-12,313.74,321.43
P00000112,A000006,2025-10-15,2025-10-11,273.13,283.68
P00000113,A000006,2025-11-15,2025-11-12,200.86,198.21
P00000114,A000006,2025-12-15,2025-12-13,344.96,351.05
P00000115,A000007,2024-04-15,2024-05-05,83.22,84.73
P00000116,A000007,2024-05-15,2024-05-15,50.0,52.14
P00000117,A000007,2024-06-15,2024-07-29,50.0,49.83
P00000118,A000007,2024-07-15,2024-07-12,54.62,55.99
P00000119,A000007,2024-08-15,2024-08-10,92.55,94.91
P00000120,A000007,2024-09-15,2024-09-11,55.22,57.42
P00000121,A000007,2024-10-15,2024-10-15,50.0,50.05
P00000122,A000007,2024-11-15,2024-11-11,106.18,110.86
P00000123,A000007,2024-12-15,2024-12-13,64.01,63.17
P00000124,A000007,2025-01-15,2025-01-15,90.12,92.92
P00000125,A000007,2025-02-15,2025-02-14,81.79,81.63
P00000126,A000007,2025-03-15,2025-03-19,64.97,67.99
P00000127,A000007,2025-04-15,2025-04-15,91.6,94.09
