transaction_id,account_id,transaction_timestamp,amount,merchant_id,merchant_category,country
T000000001,A000001,2025-11-07 16:03:00,215.41,M00654,Fuel,US
T000000002,A000001,2025-11-29 05:41:00,137.67,M00915,Other,US
T000000003,A000001,2025-02-25 00:59:00,96.5,M00918,Retail,US
T000000004,A000001,2025-01-11 17:00:00,90.86,M00877,Restaurant,MX
T000000005,A000001,2025-04-22 14:09:00,37.53,M00753,Lodging,US
T000000006,A000001,2025-09-02 17:13:00,423.65,M00208,Other,CA
T000000007,A000001,2025-07-18 23:23:00,204.14,M00842,Office,US
T000000008,A000001,2025-02-10 02:24:00,59.13,M01175,Other,US
T000000009,A000001,2025-10-14 16:27:00,96.93,M00113,Tolls,US
T000000010,A000001,2025-10-03 17:30:00,427.59,M00401,Retail,US
T000000011,A000001,2025-02-05 06:30:00,287.91,M00191,Lodging,US
T000000012,A000001,2025-12-02 12:23:00,79.6,M01154,Office,MX
T000000013,A000001,2025-11-03 13:11:00,225.63,M00546,Office,US
T000000014,A000001,2025-09-10 05:52:00,31.5,M00272,Tolls,US
T000000015,A000001,2025-01-18 10:59:00,45.44,M00329,Parts,US
T000000016,A000001,2025-03-30 16:59:00,68.61,M01009,Other,US
T000000017,A000001,2025-09-19 16:21:00,55.88,M01114,Retail,CA
T000000018,A000001,2025-11-22 17:13:00,212.09,M00682,Lodging,US
T000000019,A000001,2025-03-25 22:56:00,51.68,M00990,Maintenance,US
T000000020,A000001,2025-05-23 00:31:00,32.88,M00438,Lodging,US
T000000021,A000001,2025-12-01 03:54:00,552.25,M00425,Other,US
T000000022,A000001,2025-01-20 01:41:00,22.06,M00483,Office,MX
T000000023,A000001,2025-12-05 01:49:00,238.4,M00200,Lodging,CA
T000000024,A000001,2025-06-18 01:43:00,42.25,M00330,Retail,MX
T000000025,A000001,2025-05-30 12:19:00,22.19,M00016,Lodging,CA
T000000026,A000001,2025-03-10 20:16:00,64.6,M00291,Other,US
T000000027,A000001,2025-05-12 02:34:00,107.06,M00042,Other,US
T000000028,A000001,2025-10-25 15:32:00,66.8,M00131,Fuel,US
T000000029,A000001,2025-09-13 16:54:00,-97.36,M01163,Other,MX
T000000030,A000001,2025-03-18 07:10:00,54.57,M00917,Restaurant,MX
T000000031,A000001,2025-03-04 00:49:00,136.66,M00977,Fuel,US
T000000032,A000001,2025-11-26 08:58:00,166.74,M00664,Fuel,MX
T000000033,A000002,2025-09-20 14:24:00,79.09,M01039,Retail,US
T000000034,A000002,2025-11-28 19:10:00,231.22,M01141,Parts,US
T000000035,A000002,2025-07-23 01:23:00,26.57,M00003,Parts,CA
T000000036,A000002,2025-04-24 03:46:00,76.72,M00407,Other,MX
T000000037,A000002,2025-08-19 07:10:00,207.08,M00407,Office,MX
T000000038,A000002,2025-12-30 11:42:00,137.69,M00815,Restaurant,US
T000000039,A000002,2025-10-13 19:23:00,133.55,M00793,Restaurant,MX
T000000040,A000002,2025-05-31 07:14:00,100.15,M00913,Fuel,US
T000000041,A000002,2025-07-09 11:45:00,250.29,M00845,Lodging,US
T000000042,A000002,2025-06-06 11:28:00,278.25,M00566,Retail,US
T000000043,A000002,2025-10-17 13:26:00,296.32,M00545,Other,US
T000000044,A000002,2025-04-05 10:34:00,110.93,M00754,Restaurant,MX
T000000045,A000002,2025-03-03 23:13:00,396.53,M00433,Office,US
T000000046,A000002,2025-03-15 09:42:00,53.07,M00978,Other,CA
T000000047,A000002,2025-07-29 16:58:00,206.71,M00045,Lodging,CA
T000000048,A000002,2025-01-14 09:39:00,176.3,M00122,Parts,CA
T000000049,A000002,2025-12-10 10:05:00,310.18,M00545,Parts,MX
T000000050,A000002,2025-11-17 07:22:00,60.85,M00988,Other,CA
T000000051,A000002,2025-02-01 13:18:00,124.54,M00835,Fuel,CA
T000000052,A000002,2025-03-16 12:58:00,48.26,M00883,Office,US
T000000053,A000002,2025-04-30 00:36:00,709.6,M00096,Restaurant,US
T000000054,A000002,2025-01-02 22:34:00,141.21,M00343,Lodging,US
T000000055,A000002,2025-04-23 13:56:00,39.62,M00153,Maintenance,CA
T000000056,A000002,2025-02-04 06:01:00,25.12,M01084,Restaurant,US
T000000057,A000002,2025-02-13 16:13:00,63.86,M00342,Other,US
T000000058,A000002,2025-06-19 23:11:00,141.79,M00300,Lodging,MX
T000000059,A000002,2025-03-31 11:04:00,60.18,M01157,Retail,CA
T000000060,A000002,2025-12-15 13:29:00,559.77,M00901,Other,US
T000000061,A000003,2025-09-23 09:43:00,294.2,M01189,Office,CA
T000000062,A000003,2025-12-31 15:16:00,253.52,M00147,Lodging,US
T000000063,A000003,2025-08-30 12:15:00,105.96,M00732,Office,MX
T000000064,A000003,2025-05-05 02:33:00,14.49,M00387,Tolls,US
T000000065,A000003,2025-06-03 14:47:00,122.54,M00173,Tolls,US
T000000066,A000003,2025-10-18 12:11:00,377.84,M01199,Other,US
T000000067,A000003,2025-09-03 23:45:00,148.27,M01171,Lodging,US
T000000068,A000003,2025-01-07 04:20:00,394.04,M00279,Maintenance,US
T000000069,A000003,2025-08-07 17:47:00,76.36,M01019,Other,US
T000000070,A000003,2025-09-11 08:14:00,656.88,M00336,Other,US
T000000071,A000003,2025-07-11 07:57:00,481.64,M00388,Lodging,US
T000000072,A000003,2025-07-08 21:48:00,145.09,M00971,Tolls,US
T000000073,A000003,2025-01-02 23:41:00,82.63,M00159,Other,US
T000000074,A000003,2025-05-19 17:18:00,45.41,M00888,Parts,US
T000000075,A000003,2025-06-26 01:20:00,62.46,M00860,Fuel,US
T000000076,A000003,2025-04-23 14:03:00,37.49,M00615,,US
T000000077,A000003,2025-06-03 03:42:00,58.99,M00058,Restaurant,MX
T000000078,A000003,2025-11-10 03:53:00,144.51,M00494,Other,US
T000000079,A000003,2025-07-04 23:56:00,66.96,M00147,Lodging,MX
T000000080,A000003,2025-12-16 11:13:00,202.31,M01104,Restaurant,US
T000000081,A000003,2025-11-24 00:22:00,103.05,M00841,Other,US
T000000082,A000003,2025-10-23 21:14:00,181.22,M00494,Maintenance,US
T000000083,A000003,2025-08-30 17:25:00,42.91,M00721,Office,CA
T000000084,A000003,2025-11-20 10:46:00,80.91,M00508,Retail,US
T000000085,A000004,2025-09-01 00:27:00,68.36,M00867,Lodging,US
T000000086,A000004,2025-04-02 08:56:00,93.54,M00779,Retail,US
T000000087,A000004,2025-05-21 12:29:00,26.8,M00461,Retail,MX
T000000088,A000004,2025-05-05 09:50:00,240.04,M00350,Lodging,MX
T000000089,A000004,2025-11-20 01:08:00,438.86,M01094,Maintenance,US
T000000090,A000004,2025-11-14 13:41:00,58.34,M00320,Office,US
T000000091,A000004,2025-03-06 01:44:00,248.31,M00131,Restaurant,US
T000000092,A000004,2025-10-04 22:07:00,145.71,M00483,Tolls,US
T000000093,A000004,2025-03-03 21:17:00,96.54,M00435,Tolls,MX
T000000094,A000004,2025-09-30 02:58:00,142.73,M00313,Lodging,US
T000000095,A000004,2025-12-08 15:45:00,275.57,M00902,Parts,US
T000000096,A000004,2025-08-19 20:45:00,96.25,M00491,Tolls,MX
T000000097,A000004,2025-10-21 08:49:00,91.59,M00987,Office,MX
T000000098,A000004,2025-05-18 08:56:00,39.01,M00142,Retail,US
T000000099,A000004,2025-09-24 19:58:00,90.74,M01118,Restaurant,US
T000000100,A000004,2025-12-23 08:58:00,92.49,M00725,Parts,US
T000000101,A000004,2025-06-08 08:42:00,120.57,M00237,Retail,US
T000000102,A000004,2025-08-22 16:39:00,661.51,M00483,Restaurant,US
T000000103,A000004,2025-07-26 03:08:00,180.65,M00884,Restaurant,US
T000000104,A000004,2025-07-19 04:30:00,77.27,M00131,Parts,US
