account_id,score_date,vendor_risk_score,vendor_risk_band
A000001,2025-01-31,640.2,C
A000002,2025-01-31,737.6,B
A000003,2025-01-31,640.2,C
A000004,2025-01-31,515.3,E
A000005,2025-01-31,706.7,B
A000006,2025-01-31,620.9,C
A000007,2025-01-31,654.3,C
A000008,2025-01-31,698.2,B
A000009,2025-01-31,614.2,D
A000010,2025-01-31,732.6,B
A000011,2025-01-31,663.5,C
A000012,2025-01-31,666.0,C
A000013,2025-01-31,696.1,B
A000014,2025-01-31,665.8,C
A000015,2025-01-31,653.3,C
A000016,2025-01-31,606.0,D
A000017,2025-01-31,536.8,E
A000018,2025-01-31,523.4,E
A000019,2025-01-31,607.5,D
A000020,2025-01-31,606.4,D
A000021,2025-01-31,695.2,B
A000022,2025-01-31,667.0,C
A000023,2025-01-31,630.9,C
A000024,2025-01-31,752.0,A
A000025,2025-01-31,607.4,D
A000026,2025-01-31,614.7,D
A000027,2025-01-31,767.4,A
A000028,2025-01-31,592.9,D
A000029,2025-01-31,675.6,C
A000030,2025-01-31,624.6,C
A000031,2025-01-31,705.1,B
A000032,2025-01-31,606.2,D
A000033,2025-01-31,631.7,C
A000034,2025-01-31,650.3,C
A000035,2025-01-31,619.1,D
A000036,2025-01-31,655.0,C
A000037,2025-01-31,553.7,E
A000038,2025-01-31,678.8,C
A000039,2025-01-31,759.2,A
A000040,2025-01-31,759.3,A
A000041,2025-01-31,692.9,B
A000042,2025-01-31,724.5,B
A000043,2025-01-31,673.7,C
A000044,2025-01-31,689.0,B
A000045,2025-01-31,692.7,B
A000046,2025-01-31,662.0,C
A000047,2025-01-31,636.9,C
A000048,2025-01-31,737.9,B
A000049,2025-01-31,628.3,C
A000050,2025-01-31,673.9,C
A000051,2025-01-31,644.1,C
A000052,2025-01-31,507.4,E
A000053,2025-01-31,786.2,A
A000054,2025-01-31,682.1,B
A000055,2025-01-31,552.3,E
A000056,2025-01-31,645.3,C
A000057,2025-01-31,540.4,E
A000058,2025-01-31,704.3,B
A000059,2025-01-31,778.4,A
A000060,2025-01-31,694.0,B
A000061,2025-01-31,571.5,D
A000062,2025-01-31,688.9,B
A000063,2025-01-31,662.1,C
A000064,2025-01-31,650.1,C
A000065,2025-01-31,681.0,B
A000066,2025-01-31,780.2,A
A000067,2025-01-31,645.3,C
A000068,2025-01-31,680.3,B
A000069,2025-01-31,737.3,B
A000070,2025-01-31,768.1,A
A000071,2025-01-31,703.5,B
A000072,2025-01-31,741.7,A
A000073,2025-01-31,595.1,D
A000074,2025-01-31,648.4,C
A000075,2025-01-31,687.0,B
A000076,2025-01-31,674.5,C
A000077,2025-01-31,657.0,C
A000078,2025-01-31,704.2,B
A000079,2025-01-31,572.3,D
A000080,2025-01-31,678.8,C
A000081,2025-01-31,599.4,D
A000082,2025-01-31,686.4,B
A000083,2025-01-31,603.7,D
A000084,2025-01-31,645.5,C
A000085,2025-01-31,778.0,A
A000086,2025-01-31,747.0,A
A000087,2025-01-31,651.4,C
A000088,2025-01-31,711.2,B
A000089,2025-01-31,713.0,B
A000090,2025-01-31,632.8,C
A000091,2025-01-31,606.9,D
A000092,2025-01-31,671.7,C
A000093,2025-01-31,579.8,D
A000094,2025-01-31,733.5,B
A000095,2025-01-31,688.0,B
A000096,2025-01-31,745.4,A
A000097,2025-01-31,672.7,C
A000098,2025-01-31,560.0,E
A000099,2025-01-31,743.7,A
A000100,2025-01-31,771.3,A
A000101,2025-01-31,764.6,A
A000102,2025-01-31,677.4,C
A000103,2025-01-31,692.4,B
A000104,2025-01-31,573.8,D
A000105,2025-01-31,656.0,C
A000106,2025-01-31,706.4,B
A000107,2025-01-31,700.9,B
A000108,2025-01-31,703.0,B
A000109,2025-01-31,725.2,B
A000110,2025-01-31,709.6,B
A000111,2025-01-31,660.4,C
A000112,2025-01-31,643.3,C
A000113,2025-01-31,714.9,B
A000114,2025-01-31,622.9,C
A000115,2025-01-31,694.1,B
A000116,2025-01-31,624.2,C
A000117,2025-01-31,651.6,C
A000118,2025-01-31,661.1,C
A000119,2025-01-31,644.0,C
A000120,2025-01-31,628.8,C
A000121,2025-01-31,690.7,B
A000122,2025-01-31,552.7,E
A000123,2025-01-31,675.8,C
A000124,2025-01-31,537.5,E
A000125,2025-01-31,681.9,B
A000126,2025-01-31,572.5,D
A000127,2025-01-31,603.4,D
A000128,2025-01-31,586.4,D
A000129,2025-01-31,607.9,D
A000130,2025-01-31,714.5,B
A000131,2025-01-31,636.2,C
A000132,2025-01-31,640.5,C
A000133,2025-01-31,659.7,C
A000134,2025-01-31,661.5,C
A000135,2025-01-31,644.7,C
A000136,2025-01-31,726.3,B
A000137,2025-01-31,695.2,B
A000138,2025-01-31,649.5,C
A000139,2025-01-31,672.1,C
A000140,2025-01-31,663.2,C
A000141,2025-01-31,727.6,B
A000142,2025-01-31,696.4,B
A000143,2025-01-31,665.5,C
A000144,2025-01-31,723.4,B
A000145,2025-01-31,618.8,D
A000146,2025-01-31,732.0,B
A000147,2025-01-31,617.6,D
A000148,2025-01-31,653.9,C
A000149,2025-01-31,605.0,D
A000150,2025-01-31,588.1,D
A000151,2025-01-31,720.0,B
A000152,2025-01-31,668.1,C
A000153,2025-01-31,590.6,D
A000154,2025-01-31,666.1,C
A000155,2025-01-31,794.2,A
A000156,2025-01-31,638.0,C
A000157,2025-01-31,733.5,B
A000158,2025-01-31,685.8,B
A000159,2025-01-31,730.2,B
A000160,2025-01-31,642.2,C
A000161,2025-01-31,656.0,C
A000162,2025-01-31,628.0,C
A000163,2025-01-31,693.6,B
A000164,2025-01-31,619.5,D
A000165,2025-01-31,622.2,C
A000166,2025-01-31,668.1,C
A000167,2025-01-31,717.4,B
A000168,2025-01-31,639.7,C
A000169,2025-01-31,679.9,C
A000170,2025-01-31,641.8,C
A000171,2025-01-31,732.9,B
A000172,2025-01-31,654.3,C
A000173,2025-01-31,620.4,C
A000174,2025-01-31,584.4,D
A000175,2025-01-31,739.9,B
A000176,2025-01-31,683.8,B
A000177,2025-01-31,518.0,E
A000178,2025-01-31,484.7,E
A000179,2025-01-31,520.7,E
A000180,2025-01-31,616.4,D
A000181,2025-01-31,583.5,D
A000182,2025-01-31,577.7,D
A000183,2025-01-31,651.6,C
A000184,2025-01-31,626.2,C
A000185,2025-01-31,592.9,D
A000186,2025-01-31,548.8,E
A000187,2025-01-31,626.7,C
A000188,2025-01-31,589.6,D
A000189,2025-01-31,707.1,B
A000190,2025-01-31,692.0,B
A000191,2025-01-31,675.3,C
A000192,2025-01-31,657.2,C
A000193,2025-01-31,634.1,C
A000194,2025-01-31,727.3,B
A000195,2025-01-31,629.2,C
A000196,2025-01-31,795.3,A
A000197,2025-01-31,797.3,A
